Keyfield,Keyfield,Sample Year,Sample Period,Agency,Date,Season,Station ID,Time,Depth,Latitude,Longitude,Temperature (C) ,Salinity,Total Depth (m),Secchi Depth (m),Secchi as % of Total,Sample Depth (m),Sample Depth as % of Total,pH,Dissolved Oxygen (mg/L),Vol TP filtered (ml),Vol Chl filtered (L),Chl a (ug/L),Chl a EXO (ug/L),Phaeophytin (ug/L),NH4  (uM),PO4  (uM),N+N  (uM),NO3  (uM),NO2  (uM),Si  (uM),DIN  (uM),TDP  (uM),DOP  (uM),TP  (uM)
No_keyfield,No_keyfield,2020-2021,B,UMASS,3/25/2021,Dry,CGW-03,10:15,Surface,25.70594,-80.26135,25.1,26.4,3.3,3.3,1,0.3,0.09,7.97,5.81,9999,0.1,1.668,9999,1.183,1.459,0.424,18.099,17.924,0.175,25.455,19.558,0.563,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,4/23/2021,Dry,CGW-03,10:25,Surface,25.70594,-80.26135,27.3,29.2,3.1,3.1,1.01,0.3,0.1,7.81,4.54,9999,0.1,2.407,9999,1.642,1.82,0.73,33.717,33.402,0.315,44.612,35.537,0.73,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,5/24/2021,Dry,CGW-03,10:33,Surface,25.70594,-80.26135,26.2,24.1,2.9,2.9,1,0.3,0.1,7.86,6.21,9999,0.15,1.146,9999,0.59,1.955,0.591,31.239,30.984,0.255,42.356,33.194,0.728,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,6/7/2021,Wet,CGW-03,11:10,Surface,25.70594,-80.26135,29.4,21.4,3.2,3.2,1,0.3,0.09,7.73,4.73,9999,0.15,1.568,9999,0.985,3.23,0.699,27.321,26.919,0.402,49.945,30.551,0.699,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,6/23/2021,Wet,CGW-03,10:34,Surface,25.70594,-80.26135,30.8,26.6,3.3,3.1,0.94,0.3,0.09,7.83,4.75,9999,0.15,10,9999,4.472,3.174,0.55,25.908,25.522,0.386,35.857,29.082,0.55,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,7/21/2021,Wet,CGW-03,9:47,Surface,25.70594,-80.26135,30.7,16,3.3,3.3,1,0.3,0.09,9999,9999,9999,0.15,1.611,9999,1.426,3.512,0.723,48.807,48.414,0.394,64.572,52.319,0.723,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,8/5/2021,Wet,CGW-03,11:09,Surface,25.70594,-80.26135,30.3,15.3,3,3,1,0.5,0.17,7.53,5.18,9999,0.15,0.954,9999,0.588,5.146,0.674,43.438,43.867,0.429,78.156,48.584,0.674,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,8/19/2021,Wet,CGW-03,9:26,Surface,25.70594,-80.26135,30.6,17.4,3.4,3.4,1,3,0.88,7.71,5.7,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/3/2021,Wet,CGW-03,10:11,Surface,25.70594,-80.26135,29.6,13.2,3.1,3.1,1,9999,0,7.42,4.06,9999,0.15,2.475,9999,0.484,4.685,0.953,42.76,43.262,0.502,78.756,47.445,0.953,9999,9999
10CGW-04,10CGW-04,2016-2017,A,UMASS,10/14/2016,Wet,CGW-04,9:30,Surface,25.7083,-80.26785,26.7,30,3,3,1,1.5,0.5,7.93,5,9999,0.3,1.03,9999,1.21,3.822,0.406,4.318,3.744,0.574,13.682,8.14,9999,9999,9999
11CGW-04,11CGW-04,2016-2017,A,UMASS,11/14/2016,Dry,CGW-04,10:40,Surface,25.7083,-80.26785,25.9,30,3.1,3.05,0.98,1.5,0.48,7.98,9999,9999,0.3,1.23,9999,1.1,2.319,0.309,2.815,2.251,0.564,11.667,5.134,9999,9999,9999
12CGW-04,12CGW-04,2016-2017,A,UMASS,12/14/2016,Dry,CGW-04,10:50,Surface,25.7083,-80.26785,27.3,29.39,2.55,2.55,1,1.5,0.59,7.84,9999,9999,0.3,1.02,9999,1.19,6.07,0.343,15.746,15.043,0.703,23.399,21.816,0.7,0.357,9999
1CGW-04,1CGW-04,2016-2017,A,UMASS,1/13/2017,Dry,CGW-04,11:00,Surface,25.7083,-80.26785,23.3,28.9,2.9,2.9,1,1.5,0.52,8,9999,9999,0.3,1.46,9999,0.98,1.91,0.173,5.905,5.356,0.549,10.082,7.815,0.57,0.397,9999
2CGW-04,2CGW-04,2016-2017,A,UMASS,2/10/2017,Dry,CGW-04,11:04,Surface,25.7083,-80.26785,24.6,26.4,2.7,2.6,0.96,1.5,0.56,7.98,9999,9999,0.1,0.87,9999,0.77,2.997,0.341,12.198,11.956,0.242,24.566,15.195,5.026,4.685,9999
3CGW-04,3CGW-04,2016-2017,A,UMASS,3/14/2017,Dry,CGW-04,12:30,Surface,25.7083,-80.26785,27.8,32,2.55,2.35,0.92,1.5,0.59,7.88,9999,9999,0.1,1.98,9999,1.17,3.5,0.232,8.767,8.449,0.318,17.398,12.267,0.808,0.576,9999
4CGW-04,4CGW-04,2016-2017,A,UMASS,4/13/2017,Dry,CGW-04,14:40,Surface,25.7083,-80.26785,27.2,33,2.4,2.2,0.92,1.25,0.52,7.92,9999,9999,0.1,2.58,9999,1.14,1.261,0.344,9.975,9.706,0.269,21.436,11.236,9999,9999,9999
5CGW-04,5CGW-04,2016-2017,A,UMASS,5/9/2017,Dry,CGW-04,10:40,Surface,25.7083,-80.26785,27.2,33,2.45,2.2,0.9,1.25,0.51,7.78,4.4,9999,0.1,3.21,9999,1.4,4.839,0.182,9.707,9.242,0.465,23.453,14.546,9999,9999,9999
6CGW-04 surface A,6CGW-04 Surf A,2016-2017,A,UMASS,6/8/2017,Wet,CGW-04,11:15,Surface,25.7083,-80.26785,27,7.4,2.75,2.55,0.93,0.5,0.18,7.61,9999,9999,0.1,0.66,9999,0.41,4.499,1.111,45.8,45.523,0.277,63.07,50.299,9999,9999,9999
6CGW-04 surface B,6CGW-04 Surf B,2016-2017,A,Ransom Everglades,6/23/2017,Wet,CGW-04,11:15,Surface,25.7083,-80.26785,28.7,7.8,2.8,2.4,0.86,0.5,0.18,7.59,9999,9999,0.1,2.18,9999,0.9,0.866,0.605,32.072,31.87,0.202,51.254,32.938,9999,9999,9999
7CGW-04 surface,7CGW-04 Surf,2016-2017,A,UMASS,7/6/2017,Wet,CGW-04,10:00,Surface,25.7083,-80.26785,30,11.8,2.85,2.75,0.97,0.5,0.18,7.65,9999,9999,0.1,1.13,9999,0.59,2.358,1.175,45.787,45.548,0.239,72.752,48.145,9999,9999,9999
8CGW-04 surface,8CGW-04 Surf,2016-2017,A,UMASS,8/7/2017,Wet,CGW-04,11:10,Surface,25.7083,-80.26785,31.3,10,9999,9999,9999,9999,9999,9999,9999,9999,0.1,1.57,9999,0.7,5.112,0.363,20.776,20.652,0.124,34.643,25.888,9999,9999,9999
8CGW-04 surface,8CGW-04 Surf,2016-2017,A,UMASS,8/21/2017,Wet,CGW-04,13:20,Surface,25.7083,-80.26785,31.4,12.2,9999,9999,9999,9999,9999,9999,9999,9999,0.1,2.5,9999,0.83,3.354,0.496,19.24,19.048,0.192,40.194,22.594,9999,9999,9999
9CGW-04Surface,9CGW-04 Surf,2016-2017,A,UMASS,9/28/2017,Wet,CGW-04,9:30,Surface,25.7083,-80.26785,28.1,8.03,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.63,9999,0.308,3.05,0.48,53.32,53.11,0.21,75,56.37,0.48,9999,9999
10CGW-04Surface,10CGW-04 Surf,2016-2017,A,UMASS,10/5/2017,Wet,CGW-04,12:15,Surface,25.7083,-80.26785,27.3,10.5,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.888,9999,0.671,4.34,0.93,59.5,59.12,0.38,80,63.84,0.93,9999,9999
11CGW-04Surface,11CGW-04 surf,2016-2017,A,UMASS,11/17/2017,Dry,CGW-04,,Surface,25.7083,-80.26785,9999,7.27,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.494,9999,0.232,7.2,0.87,67.68,67.1,0.58,114.8,74.88,0.87,9999,9999
12CGW-04Surface,12CGW-04 surf,2016-2017,A,UMASS,12/18/2017,Dry,CGW-04,,Surface,25.7083,-80.26785,9999,9999,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.266,9999,0.434,2.66,0.23,96.94,96.73,0.22,55.4,99.61,0.25,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/29/2020,Wet,CGW-04,11:55,Surface,25.7083,-80.26785,29.3,9.7,2.7,2.4,0.89,0.5,0.19,7.2,3.47,9999,0.15,2.42,9999,0.867,3.57,0.38,17.84,17.42,0.42,28.8,21.41,0.38,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/14/2020,Wet,CGW-04,11:33,Surface,25.7083,-80.26785,29,9.7,2.4,2.3,0.94,0.3,0.13,7.34,3.74,9999,0.2,0.717,9999,0.365,3.34,0.96,56.43,56.24,0.18,67.9,59.77,0.96,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/28/2020,Wet,CGW-04,11:24,Surface,25.7083,-80.26785,27.7,3.6,2.4,9999,9999,0.5,0.21,7.4,4.3,9999,0.2,1.528,9999,0.271,6.48,0.93,63.21,62.53,0.68,103.8,69.69,0.93,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,11/12/2020,Dry,CGW-04,10:10,Surface,25.7083,-80.26785,26.8,3.3,2.5,9999,9999,0.5,0.2,7.27,3.57,9999,0.2,0.453,9999,0.116,3.55,1.08,84.41,84.15,0.25,91.8,87.96,1.08,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,12/14/2020,Dry,CGW-04,11:45,Surface,25.7083,-80.26785,23.3,16,2.2,9999,9999,0.5,0.23,7.77,5.8,9999,0.2,1.303,9999,0.283,2.217,1.7,40.04,39.83,0.21,103.41,42.257,1.7,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,1/27/2021,Dry,CGW-04,12:42,Surface,25.7083,-80.26785,24.4,17.4,2.5,2,0.8,0.3,0.12,7.62,5.75,9999,0.15,0.712,9999,0.42,2.99,0.903,43.064,42.863,0.201,47.817,46.054,0.903,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,2/25/2021,Dry,CGW-04,10:40,Surface,25.7083,-80.26785,25.1,13.8,2.1,2.1,1,0.3,0.14,7.6,5.45,9999,0.15,0.869,9999,0.517,1.822,0.898,58.189,57.928,0.261,63.891,60.011,0.898,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,3/25/2021,Dry,CGW-04,10:37,Surface,25.7083,-80.26785,25.8,21.8,2.4,2.4,1,0.3,0.13,7.77,5.52,9999,0.1,2.033,9999,1.285,1.145,0.926,38.958,38.784,0.174,47.217,40.103,0.926,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,4/23/2021,Dry,CGW-04,10:41,Surface,25.7083,-80.26785,27.8,19.7,2.3,2.3,1,0.3,0.13,7.63,4.24,9999,0.1,2.834,9999,1.86,1.452,0.857,42.405,42.14,0.265,50.794,43.857,0.857,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,5/24/2021,Dry,CGW-04,10:50,Surface,25.7083,-80.26785,26.7,17.2,2.1,2.1,1,0.3,0.14,7.71,5.83,9999,0.15,1.166,9999,0.482,1.983,0.873,44.511,44.279,0.232,58.262,46.494,0.873,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,6/7/2021,Wet,CGW-04,10:01,Surface,25.7083,-80.26785,28.9,18.2,2.1,2.1,1,0.3,0.14,7.69,4.21,9999,0.15,1.338,9999,0.891,2.827,1.01,36.81,36.521,0.289,64.085,39.637,1.01,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,6/23/2021,Wet,CGW-04,10:50,Surface,25.7083,-80.26785,30.2,17.9,2.1,2.1,1,0.3,0.14,7.63,4.86,9999,0.15,19.417,9999,5.806,2.575,1.121,51.27,50.955,0.315,65.122,53.845,1.121,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,7/21/2021,Wet,CGW-04,10:07,Surface,25.7083,-80.26785,29.4,13,2.1,2.1,1,0.3,0.14,9999,9999,9999,0.15,1.263,9999,0.955,2.536,1.229,60.563,60.315,0.248,85.837,63.099,1.229,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,8/5/2021,Wet,CGW-04,10:26,Surface,25.7083,-80.26785,30.6,15.4,2.3,2.3,1,0.5,0.22,7.46,3.98,9999,0.15,0.295,9999,0.189,3.651,1.422,57.408,57.7,0.292,110.855,61.059,1.422,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,8/19/2021,Wet,CGW-04,9:38,Surface,25.7083,-80.26785,30.2,11.6,2.1,2.1,1,1.5,0.71,7.6,5.2,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/3/2021,Wet,CGW-04,10:36,Surface,25.7083,-80.26785,30.1,12.4,2,2,1,9999,0,7.38,3.25,9999,0.15,0.622,9999,0.245,2.96,1.21,48.478,48.687,0.209,91.484,51.438,1.21,9999,9999
10CGW-05,10CGW-05,2016-2017,A,UMASS,10/14/2016,Wet,CGW-05,10:38,Surface,25.71191,-80.26731,28.5,26,2.8,2.8,1,1.5,0.54,7.86,4.5,9999,0.3,0.93,9999,1.2,3.489,0.428,5.275,4.67,0.605,15.539,8.764,9999,9999,9999
11CGW-05,11CGW-05,2016-2017,A,UMASS,11/14/2016,Dry,CGW-05,11:30,Surface,25.71191,-80.26731,26.8,27,2.61,2.5,0.96,1.5,0.57,7.87,9999,9999,0.3,1.15,9999,1.21,2.146,0.392,5.407,4.861,0.546,14.85,7.553,9999,9999,9999
12CGW-05,12CGW-05,2016-2017,A,UMASS,12/14/2016,Dry,CGW-05,11:30,Surface,25.71191,-80.26731,27.3,28.27,2.5,2.5,1,1.5,0.6,7.75,9999,9999,0.3,0.92,9999,1.06,6.014,0.541,23.326,22.706,0.62,29.394,29.34,0.563,0.022,9999
1CGW-05,1CGW-05,2016-2017,A,UMASS,1/13/2017,Dry,CGW-05,11:40,Surface,25.71191,-80.26731,22.9,29,2.6,2.6,1,1.5,0.58,7.99,9999,9999,0.3,1.04,9999,0.85,2.125,0.34,12.191,11.82,0.371,18.55,14.316,0.637,0.297,9999
2CGW-05,2CGW-05,2016-2017,A,UMASS,2/10/2017,Dry,CGW-05,11:30,Surface,25.71191,-80.26731,26.2,23,2.2,2.2,1,1,0.45,7.87,9999,9999,0.1,0.9,9999,0.68,2.928,0.405,13.791,13.611,0.18,26.563,16.719,2.264,1.859,9999
3CGW-05,3CGW-05,2016-2017,A,UMASS,3/14/2017,Dry,CGW-05,13:00,Surface,25.71191,-80.26731,27.8,30,2.4,2.4,1,1.5,0.63,7.88,9999,9999,0.1,1.29,9999,0.75,2.83,0.317,10.835,10.509,0.326,20.338,13.665,1.825,1.508,9999
4CGW-05,4CGW-05,2016-2017,A,UMASS,4/13/2017,Dry,CGW-05,15:15,Surface,25.71191,-80.26731,27.2,30,2.2,2.2,1,1,0.45,7.87,9999,9999,0.1,2.14,9999,1.08,1.02,0.639,17.135,16.863,0.272,33.343,18.155,9999,9999,9999
5CGW-05,5CGW-05,2016-2017,A,UMASS,5/9/2017,Dry,CGW-05,11:20,Surface,25.71191,-80.26731,28.4,30,2.2,2.2,1,1,0.45,7.72,4.61,9999,0.1,2.05,9999,0.74,3.669,0.354,15.422,15.01,0.412,29.791,19.091,9999,9999,9999
6CGW-05 surface A,6CGW-05 Surf A,2016-2017,A,UMASS,6/8/2017,Wet,CGW-05,12:10,Surface,25.71191,-80.26731,27.8,7.7,2.3,2.1,0.91,0.5,0.22,7.58,9999,9999,0.1,3.22,9999,1.32,18.117,0.761,28.1,27.59,0.51,68.069,46.217,9999,9999,9999
6CGW-05 surface B,6CGW-05 Surf B,2016-2017,A,Ransom Everglades,6/23/2017,Wet,CGW-05,12:00,Surface,25.71191,-80.26731,29.8,13.2,2.3,2.3,1,0.5,0.22,7.64,9999,9999,0.1,2.97,9999,1.14,2.837,0.563,53.5,52.854,0.646,70.088,56.337,9999,9999,9999
7CGW-05 surface,7CGW-05 Surf,2016-2017,A,UMASS,7/6/2017,Wet,CGW-05,10:35,Surface,25.71191,-80.26731,30.9,15.9,2.3,2.3,1,0.5,0.22,7.72,9999,9999,0.1,2.39,9999,1.16,2.253,0.479,20.5,20.174,0.326,45.899,22.753,9999,9999,9999
8CGW-05 surface,8CGW-05 Surf,2016-2017,A,UMASS,8/7/2017,Wet,CGW-05,12:00,Surface,25.71191,-80.26731,32.4,9,9999,9999,9999,9999,9999,9999,9999,9999,0.1,1.83,9999,0.75,1.616,0.335,15.115,14.913,0.202,28.832,16.731,9999,9999,9999
8CGW-05 surface,8CGW-05 Surf,2016-2017,A,UMASS,8/21/2017,Wet,CGW-05,14:05,Surface,25.71191,-80.26731,31.6,12.9,9999,9999,9999,9999,9999,9999,9999,9999,0.1,1.34,9999,0.64,5.984,0.728,20.7,20.284,0.416,62.085,26.684,9999,9999,9999
9CGW-05Surface,9CGW-05 Surf,2016-2017,A,UMASS,9/28/2017,Wet,CGW-05,10:10,Surface,25.71191,-80.26731,28.8,10.9,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.349,9999,0.537,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
10CGW-05Surface,10CGW-05 Surf,2016-2017,A,UMASS,10/5/2017,Wet,CGW-05,12:30,Surface,25.71191,-80.26731,27.3,17.2,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.978,9999,0.966,7.55,0.37,45.22,44.54,0.68,71,52.77,0.37,9999,9999
11CGW-05Surface,11CGW-05 surf,2016-2017,A,UMASS,11/17/2017,Dry,CGW-05,,Surface,25.71191,-80.26731,9999,10.5,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.629,9999,0.34,7.28,0.24,18.35,17.95,0.4,43.4,25.63,0.24,9999,9999
12CGW-05Surface,12CGW-05 surf,2016-2017,A,UMASS,12/18/2017,Dry,CGW-05,,Surface,25.71191,-80.26731,9999,9999,9999,9999,9999,9999,9999,9999,9999,1000,0.1,1.21,9999,0.546,3.81,0.18,101.98,101.43,0.55,39.5,105.79,0.18,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/29/2020,Wet,CGW-05,12:20,Surface,25.712292,-80.267197,29.5,10.9,3.3,3.3,1,0.5,0.15,7.14,3.97,9999,0.15,7.091,9999,0.452,7.41,0.89,77.61,76.52,1.08,94.5,85.02,0.89,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/14/2020,Wet,CGW-05,11:59,Surface,25.712292,-80.267197,29.5,14.3,3,2.5,0.83,0.3,0.1,7.45,4.11,9999,9999,9999,9999,9999,4.13,0.85,48.04,47.67,0.37,44.5,52.17,0.85,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,10/28/2020,Wet,CGW-05,11:35,Surface,25.712292,-80.267197,27.9,4.9,2.5,9999,9999,0.5,0.2,7.5,4.5,9999,0.2,2.583,9999,0.448,8.55,0.67,52.61,51.75,0.86,79,61.16,0.67,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,11/12/2020,Dry,CGW-05,10:32,Surface,25.712292,-80.267197,26.8,2.4,3,9999,9999,0.5,0.17,7.2,3.16,9999,0.2,1.534,9999,0.45,8.18,1.03,85.28,84.06,1.23,148.2,93.46,1.03,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,12/14/2020,Dry,CGW-05,12:14,Surface,25.712292,-80.267197,23,18.6,2.8,9999,9999,0.5,0.18,7.85,6.34,9999,0.2,1.257,9999,0.573,1.942,1.05,58.81,58.35,0.46,65.02,60.752,1.05,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,1/27/2021,Dry,CGW-05,13:26,Surface,25.712292,-80.267197,24.4,19.1,2.5,2.4,0.96,0.3,0.12,7.76,6.09,9999,0.15,1.391,9999,0.857,2.961,0.776,30.251,30.035,0.217,34.788,33.212,0.776,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,2/25/2021,Dry,CGW-05,11:37,Surface,25.712292,-80.267197,25.1,17.4,2.7,2.6,0.96,0.3,0.11,7.7,5.76,9999,0.15,1.242,9999,0.899,1.968,0.627,37.704,37.412,0.292,40.854,39.672,0.627,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,3/25/2021,Dry,CGW-05,11:33,Surface,25.712292,-80.267197,25.6,24.3,2.7,2.7,1,0.3,0.11,7.88,5.31,9999,0.1,2.081,9999,1.71,1.257,0.69,27.225,27,0.225,35.017,28.482,0.708,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,4/23/2021,Dry,CGW-05,11:40,Surface,25.712292,-80.267197,27.8,22.7,2.7,2.7,1,0.3,0.11,7.67,4.2,9999,0.1,2.66,9999,3.469,1.78,0.846,34.059,33.723,0.336,45.903,35.839,0.846,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,5/24/2021,Dry,CGW-05,11:33,Surface,25.712292,-80.267197,26.8,23.3,2.7,2.7,1,0.3,0.11,7.81,5.8,9999,0.15,1.974,9999,0.83,1.648,0.647,30.923,30.659,0.264,42.833,32.571,0.907,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,6/7/2021,Wet,CGW-05,9:41,Surface,25.712292,-80.267197,29.1,18.6,1.9,1.9,1,0.3,0.16,7.6,4.55,9999,0.15,1.917,9999,1.65,3.703,0.797,28.239,27.824,0.415,53.57,31.942,0.797,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,6/23/2021,Wet,CGW-05,11:35,Surface,25.712292,-80.267197,30.9,21.9,2.4,2.4,1,0.3,0.13,7.7,4.73,9999,0.15,7.378,9999,3.178,2.351,0.802,31.816,31.349,0.467,46.45,34.167,0.802,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,7/21/2021,Wet,CGW-05,10:49,Surface,25.712292,-80.267197,30.7,17,2.5,2.5,1,0.3,0.12,9999,9999,9999,0.15,1.881,9999,1.766,3.577,1.097,48.159,47.763,0.396,65.641,51.736,1.097,9999,9999
No_keyfield,No_keyfield,2020-2021,B,FIU/MWK,8/5/2021,Wet,CGW-05,9:33,Surface,25.712292,-80.267197,30.2,19.9,3.8,2.5,0.67,0.5,0.13,7.47,4.6,9999,0.15,1.179,9999,1.21,3.263,0.717,46.305,46.771,0.466,82.712,49.568,0.717,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,8/19/2021,Wet,CGW-05,9:57,Surface,25.712292,-80.267197,30.7,15.2,2.7,2.7,1,2,0.74,7.6,4.81,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
No_keyfield,No_keyfield,2020-2021,B,UMASS,9/3/2021,Wet,CGW-05,11:33,Surface,25.712292,-80.267197,29.9,9.9,2,2,1,9999,0,7.42,3.45,9999,0.15,2.613,9999,0.74,6.388,1.38,49.489,50.111,0.622,88.662,55.877,1.38,9999,9999
10CGW-06,10CGW-06,2016-2017,A,UMASS,10/14/2016,Wet,CGW-06,12:30,Surface,25.71055,-80.27949,29.5,25,2.7,2.1,0.78,1.5,0.56,7.77,5.8,9999,0.3,18.1,9999,8.12,2.818,0.45,6.649,6.012,0.637,16.72,9.467,9999,9999,9999
11CGW-06,11CGW-06,2016-2017,A,UMASS,11/14/2016,Dry,CGW-06,13:00,Surface,25.71055,-80.27949,27.6,23,2.8,1.8,0.64,1.5,0.54,7.9,9999,9999,0.3,75.62,9999,8.06,2.031,0.473,8.318,7.845,0.473,17.516,10.349,9999,9999,9999
12CGW-06,12CGW-06,2016-2017,A,UMASS,12/14/2016,Dry,CGW-06,13:15,Surface,25.71055,-80.27949,28,24.84,2.45,1.6,0.65,1.5,0.61,7.82,9999,9999,0.3,28.34,9999,0,1.224,0.499,16.896,16.419,0.658,45.949,18.301,0.569,0.07,9999
1CGW-06,1CGW-06,2016-2017,A,UMASS,1/13/2017,Dry,CGW-06,12:50,Surface,25.71055,-80.27949,23.6,25.2,2.85,2.2,0.77,1.5,0.53,7.89,9999,9999,0.3,19.46,9999,0.47,1.951,0.354,12.046,11.674,0.372,18.446,13.997,0.526,0.172,9999
2CGW-06,2CGW-06,2016-2017,A,UMASS,2/10/2017,Dry,CGW-06,12:32,Surface,25.71055,-80.27949,26.9,24.5,2.35,1.9,0.81,1.5,0.64,7.62,9999,9999,0.1,3.79,9999,2.85,7.524,0.455,13.95,13.733,0.217,34.115,21.474,2.089,1.634,9999
3CGW-06,3CGW-06,2016-2017,A,UMASS,3/14/2017,Dry,CGW-06,14:20,Surface,25.71055,-80.27949,26.8,27,2.7,1.68,0.62,1.5,0.56,7.89,9999,9999,0.1,55.8,9999,3.6,1.012,0.296,8.116,7.667,0.449,23.894,9.128,1.42,1.124,9999
4CGW-06Surface,4CGW-06,2016-2017,A,NOAA,4/13/2017,Dry,CGW-06,12:30,Surface,25.71055,-80.27949,26.27,15.95,9999,9999,9999,9999,9999,9999,5.19,9999,0.1,2.08,2.51,3.6,3.158,1.134,49.758,49.449,0.309,63.196,52.916,9999,9999,9999
5CGW-06,5CGW-06,2016-2017,A,UMASS,5/9/2017,Dry,CGW-06,12:45,Surface,25.71055,-80.27949,30.2,23,2.4,1.6,0.67,1.25,0.52,7.77,99999999,9999,0.1,20.68,9999,1.81,0.955,0.094,6.614,6.246,0.368,22.584,7.569,9999,9999,9999
6CGW-06 surface A,6CGW-06 Surf A,2016-2017,A,UMASS,6/8/2017,Wet,CGW-06,14:15,Surface,25.71055,-80.27949,27.8,4.3,2.5,1.55,0.62,0.5,0.2,7.51,9999,9999,0.1,1.51,9999,0.45,3.289,1.328,68.684,68.336,0.348,104.116,71.973,9999,9999,9999
6CGW-06 surface B,6CGW-06 Surf B,2016-2017,A,UMASS,6/23/2017,Wet,CGW-06,13:45,Surface,25.71055,-80.27949,28.9,6,2.5,1.7,0.68,0.5,0.2,7.54,9999,9999,0.1,2.23,9999,0.79,1.736,0.964,56.3,56.03,0.27,79.949,58.036,9999,9999,9999
7CGW-06 surface,7CGW-06 Surf,2016-2017,A,UMASS,7/6/2017,Wet,CGW-06,12:10,Surface,25.71055,-80.27949,30.2,6.2,2.5,1.55,0.62,0.5,0.2,7.57,9999,9999,0.1,0.71,9999,0.39,2.019,0.904,23.066,22.926,0.14,80.761,25.085,9999,9999,9999
8CGW-06 surface,8CGW-06 Surf,2016-2017,A,UMASS,8/7/2017,Wet,CGW-06,14:00,Surface,25.71055,-80.27949,32.1,5,9999,9999,9999,9999,9999,9999,9999,1000,0.1,0.61,9999,0.32,2.159,0.862,33.2,33.036,0.164,71.542,35.359,9999,9999,9999
8CGW-06 surface,8CGW-06 Surf,2016-2017,A,NOAA,8/21/2017,Wet,CGW-06,10:35,Surface,25.71055,-80.27949,30.09,7.17,9999,9999,9999,9999,9999,9999,4.95,700,0.1,1.29,0.68,0.77,4.121,1.52,40.02,39.719,0.301,67.594,44.141,9999,9999,9999
9CGW-06Surface,9CGW-06 Surf,2016-2017,A,NOAA,9/28/2017,Wet,CGW-06,7:06,Surface,25.71055,-80.27949,28.75,8.15,9999,9999,9999,9999,9999,9999,1.77,1000,0.1,0.439,0.97,0.542,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
